CubSwanson,145.0,67.0,70.0,21.0,6.0,0,0
RyanBenoit,125.0,65.0,69,9.0,5.0,0,0
BrandonMoreno,125.0,67.0,71,13.0,3.0,0,0
NeilMagny,170.0,75.0,69,16.0,5.0,0,0
ErickSilva,170.0,72.0,74.0,18.0,6.0,0,0
ViscardiAndrade,170.0,71.0,73,18.0,7.0,0,0
GasanUmalatov,170.0,71.0,76,15.0,5.0,0,0
GaloreBofando,170.0,66,72,4.0,2.0,0,0
CharlieWard,185.0,74,74,3.0,3.0,0,0
ShunichiShimizu,135.0,66.0,73,28.0,9.0,0,0
KyungHoKang,135.0,69.0,67,12.0,7.0,0,0
GinaMazany,135.0,66.0,72,4.0,1.0,0,0
SaraMcMann,135.0,66.0,74,11.0,3.0,0,0
TomDuquesnoy,135.0,67.0,70,15.0,1.0,0,0
PatrickWilliams,135.0,68.0,69,8.0,5.0,0,0
OskarPiechota,185.0,72.0,76,9.0,0.0,0,0
JonathanWilson,205.0,73.0,77,7.0,2.0,0,0
HectorLombard,170.0,69.0,71.0,35.0,4.0,0,0
JoshBurkman,170.0,70.0,74.0,27.0,11.0,0,0
FranciscoTrevino,155.0,70.0,72,12.0,1.0,0,0
JohnnyCase,155.0,73.0,72,21.0,4.0,0,0
FrankieSaenz,135.0,66.0,72,9.0,2.0,0,0
IuriAlcantara,135.0,66.0,71.0,31.0,5.0,0,0
PedroMunhoz,135.0,66.0,68,10.0,1.0,0,0
RaphaelAssuncao,135.0,65.0,68.0,22.0,4.0,0,0
ChadLaprise,170.0,70.0,69,11.0,2.0,0,0
RossPearson,155.0,68.0,69.0,21.0,10.0,0,0
TarecSaffiedine,170.0,69.0,71.0,16.0,4.0,0,0
JakeEllenberger,170.0,70.0,73.0,30.0,11.0,0,0
KevinCasey,185.0,71.0,77.0,8.0,3.0,0,0
IldemarAlcantara,170.0,74.0,71,21.0,8.0,0,0
AlexandrePantoja,125.0,65.0,75,18.0,2.0,0,0
NeilSeery,125.0,66.0,75,16.0,13.0,0,0
NordineTaleb,185.0,73.0,70,8.0,2.0,0,0
VikGrujic,185.0,71.0,67,6.0,2.0,0,0
AnthonyNjokuani,155.0,72.0,76.0,16.0,9.0,0,0
DaronCruickshank,155.0,68.0,72.0,16.0,5.0,0,0
ChadLaprise,170.0,70.0,73,7.0,0.0,0,0
OlivierAubin-Mercier,170.0,69.0,73,4.0,0.0,0,0
MichaelJohnson,155.0,71.0,74.0,18.0,10.0,0,0
DustinPoirier,145.0,69.0,73.0,20.0,5.0,0,0
AdrianDiaz,145.0,70.0,74,11.0,4.0,0,0
GrantDawson,145.0,70.0,72,11.0,1.0,0,0
DustinKimura,135.0,67.0,76,11.0,2.0,0,0
GeorgeRoop,135.0,73.0,72.0,15.0,10.0,0,0
LouisSmolka,125.0,69.0,67,11.0,4.0,0,0
TimothyElliott,125.0,67.0,69,15.0,8.0,0,0
SantiagoPonzinibbio,170.0,72.0,77,19.0,2.0,0,0
SeanStrickland,185.0,73.0,74,15.0,0.0,0,0
PedroMunhoz,135.0,66.0,73,11.0,2.0,0,0
JimmieRivera,135.0,64.0,71,18.0,1.0,0,0
RoryMacDonald,170.0,72.0,77.0,18.0,2.0,0,0
TarecSaffiedine,170.0,69.0,71.0,15.0,4.0,0,0
MarcosRogeriodeLima,231.0,73.0,75,13.0,4.0,0,0
NikitaKrylov,245.0,75.0,69,19.0,4.0,0,0
JoshBarnett,250.0,75.0,78.0,34.0,8.0,0,0
BenRothwell,265.0,76.0,80.0,36.0,9.0,0,0
DanielCormier,205.0,71.0,71.0,14.0,0.0,0,0
DanHenderson,205.0,73.0,74.0,30.0,11.0,0,0
ChicoCamus,135.0,66.0,73,14.0,5.0,0,0
BradPickett,125.0,66.0,68.0,24.0,10.0,0,0
EdimilsonSouza,145.0,72.0,71,19.0,4.0,0,0
ChasSkelly,145.0,71.0,70,15.0,1.0,0,0
MattBrown,170.0,72.0,76.0,22.0,14.0,0,0
DemianMaia,170.0,72.0,72.0,23.0,6.0,0,0
NateMarquardt,185.0,72.0,74.0,37.0,16.0,0,0
ThiagoSantos,185.0,72.0,69,13.0,4.0,0,0
MichaelBisping,185.0,74.0,76.0,24.0,5.0,0,0
TimKennedy,185.0,71.0,74.0,17.0,4.0,0,0
AmandaLemos,135.0,64.0,76,6.0,1.0,0,0
LeslieSmith,135.0,69.0,71,10.0,7.0,0,0
RickGlenn,155.0,72.0,77,18.0,4.0,0,0
EvanDunham,155.0,70.0,70.0,18.0,6.0,0,0
NateMarquardt,185.0,72.0,74.0,33.0,14.0,0,0
BradTavares,185.0,73.0,75.0,13.0,3.0,0,0
JoseQuinonez,135.0,68.0,72,6.0,2.0,0,0
